Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Trinidad and Tobago,10.691803,61.222503,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,80,0,0,0,58,48,0,0,12.94,very high,extremely low,extremely low
Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,ultra high,ultra high,high,very high,moderately low,moderately high,47,0,0,0,28,25,0,0,17.56,very high,low,moderately high
Turkey,38.963745,35.243322,23,25,5,5,6,7,17,17,ultra high,ultra high,ultra high,ultra high,moderately high,moderate,0,0,0,57,74,42,0,0,16.03,high,very low,moderate
Turkmenistan,38.969719,59.556278,0,0,0,0,0,0,0,0,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,0,0,0,0,0,0,23.83,high,extremely low,very low
Turks and Caicos Islands,21.694025,71.797928,19,0,0,0,22,17,29,35,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Tuvalu,7.109535,177.64933,13,9,13,17,27,32,61,39,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Uganda,1.373333,32.290275,0,0,6,3,0,0,0,0,moderately low,moderate,low,low,very low,very low,33,21,0,0,0,0,89,90,38.14,very high,extremely low,extremely low
Ukraine,48.379433,31.16558,0,0,9,7,4,3,7,4,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,0,0,74,64,0,0,8.7,high,moderately high,low
United Arab Emirates,23.424076,53.847818,0,0,8,5,2,3,2,2,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,68,42,0,0,57,46,0,0,10.33,very high,low,extremely low
United Kingdom,55.378051,3.435973,3,0,1,1,2,2,5,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,83,81,0,0,11.0,high,moderate,very low
